,NUMBER IT,,,,,,,,,,,,,,,,,,,,
,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,avg
claude-3-5-sonnet-20240620,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,5,1,2,1,1.35
o1-mini,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,4,1,2,1.4
o1-preview,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,2,3,3,1,2,1.5
gemini-1.5-pro-002,1,4,1,2,1,2,1,1,2,1,2,3,2,1,5,4,1,2,1,2,1.95
gpt-4o,1,3,2,1,1,2,2,1,1,1,1,2,4,2,1,4,1,3,2,10,2.25
Llama-3.1-405B-Instruct,1,2,1,1,5,1,2,10,1,1,1,1,3,2,2,4,2,6,4,1,2.55
mistral-large-2407,1,1,1,1,10,2,1,1,5,1,3,2,7,2,1,2,3,6,1,1,2.6
Llama-3.2-90B-Vision-Instruct,4,2,1,4,1,3,5,3,1,2,4,1,9,1,1,1,10,2,1,3,2.95
gemini-1.5-flash-002,3,6,3,2,5,3,4,1,4,1,3,3,4,3,1,3,4,8,1,4,3.3
open-mixtral-8x22b,1,11,1,1,2,1,11,1,4,5,1,3,3,1,1,1,5,15,3,1,3.6
gpt-4,7,8,2,2,2,1,8,2,2,5,2,5,2,1,4,4,8,8,3,2,3.9
codestral-2405,1,4,1,3,11,1,1,2,4,2,1,3,5,7,1,15,3,4,1,8,3.9
gpt-4o-mini,1,1,2,2,1,2,5,2,4,2,1,5,11,6,1,11,11,9,3,1,4.05
Llama-3.1-Nemotron-70B-Instruct,1,9,3,5,2,1,11,4,2,3,5,2,3,1,3,7,5,6,2,6,4.05
Qwen2.5-72B-Instruct,4,1,6,4,2,1,8,1,4,2,3,2,5,9,3,9,14,11,1,3,4.65
WizardLM-2-8x22B,1,11,11,1,7,7,6,1,1,1,1,1,11,11,1,4,8,11,3,6,5.2
,,,,,,,,,,,,,,,,,,,,,
,TIME TOTAL,,,,,,,,,,,,,,,,,,,,
,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,avg
gemini-1.5-flash-002,10.33940411,26.97766852,10.20738173,5.533673048,18.73669672,13.43317795,16.87819433,3.791638851,16.14247823,3.069685936,12.4328661,10.96158695,12.77036595,9.339134932,3.122032642,17.60164762,23.86300325,53.65538096,2.776854515,18.54868102,14.50907767
claude-3-5-sonnet-20240620,12.81790614,23.57381439,15.90022016,12.56514049,12.80555701,12.71668005,14.05461335,11.85644198,16.25653458,22.49432969,15.29703951,11.89684224,13.81807542,24.63658524,21.71878433,18.67574906,113.6849749,28.26016855,41.1133225,28.45243812,23.62976089
gemini-1.5-pro-002,7.214130402,61.59661293,8.669682264,18.8400557,8.226303339,17.4790175,12.92520094,8.559698582,22.25198078,7.393552065,21.82088065,30.36696434,17.42799997,7.499993801,46.66923118,86.35139275,25.69711828,44.25143862,11.31236267,32.63054848,24.85920826
codestral-2405,4.231849909,37.71035099,5.905408621,21.9436264,87.40442109,7.729117632,6.004996538,13.33012271,31.84481645,11.98296857,6.619361401,21.27910876,34.10558772,64.40065193,5.018908501,219.4790087,35.83771706,49.99142766,4.496236086,96.09649181,38.27060893
open-mixtral-8x22b,6.970344067,210.1306663,13.65574455,10.20633268,22.67085361,11.82479644,168.7873571,10.00475407,52.28155351,44.48326039,10.35691643,29.04219365,22.55832767,8.035303593,8.240731001,19.38944936,98.87185311,269.3560934,27.06827927,13.66249585,52.8798653
o1-mini,55.33943057,66.65739369,21.76679254,20.63960576,26.83382893,23.6885078,63.58515477,24.72099781,58.28039408,54.28199244,52.42425489,34.83201766,57.36594176,23.59467411,25.79103136,107.771502,99.5087926,144.858566,42.20486617,101.670603,55.2908174
gpt-4o-mini,8.73996568,12.48062015,18.86295676,18.8366425,7.36397815,16.84661317,47.30130672,17.81723571,47.67251992,17.81863832,19.79644251,56.0286622,120.6207128,48.2744329,12.62715745,207.1112397,178.4079914,219.4519441,34.3636086,13.60912442,56.20158966
Llama-3.1-405B-Instruct,11.62410116,62.75778246,19.5434556,12.31872392,180.5819693,19.03932118,37.36573863,204.589401,17.65192771,55.33500051,22.35431695,17.71578741,72.72542405,20.79483843,35.43889618,150.2391579,52.64328194,255.5626202,74.8004539,34.06427002,67.85732342
Llama-3.2-90B-Vision-Instruct,68.47120118,46.39189076,12.8960793,64.22865748,23.21951866,51.35024714,118.193115,51.51937461,16.13791108,35.31926799,106.4315238,19.76291299,244.8531127,14.95057297,29.08538365,24.77134943,388.4447782,48.51755977,14.72943616,80.06798005,72.96709365
gpt-4o,32.03577209,122.4419031,65.88767099,39.20579147,38.10470939,41.41120172,56.85373521,19.74085927,45.26131463,22.78511834,29.85712814,71.06438661,120.7415044,46.71499062,47.35867238,148.3325524,42.26276326,121.3463731,53.5668633,414.5321894,78.97527499
gpt-4,139.3660994,253.9650283,50.42825747,43.42409277,47.45085216,26.8235321,201.9950163,39.42270517,45.39443374,126.5489295,56.49828124,127.3088017,52.63044763,23.787467,86.4501932,143.8974085,263.5460701,305.7607751,70.20133972,66.13634419,108.5518038
Qwen2.5-72B-Instruct,69.60783339,16.86161089,116.7492368,64.95151448,28.62915039,10.82209539,179.6163898,15.08191991,93.6470449,25.83676219,57.47167659,25.77029085,80.37185359,172.9359615,38.8165586,321.3231618,663.6636934,465.8218732,9.957676411,81.73515463,126.9835729
o1-preview,99.4497061,72.71663094,70.68202066,76.71691871,90.71459532,64.40443349,82.89148498,77.86454391,97.2275496,132.7864189,97.9693379,257.3810668,60.52897215,76.81784201,179.4905777,248.5281093,234.31884,670.8135536,53.38458538,164.9750824,145.4831135
Llama-3.1-Nemotron-70B-Instruct,12.68282843,358.0341861,275.3890498,174.594101,30.41044354,16.90343928,301.7717113,74.69619608,40.30815768,33.89443779,117.2352786,38.60471725,42.65350628,67.71900177,134.6183174,213.6867738,411.4580588,456.2988749,71.02171254,487.5291998,167.9754996
mistral-large-2407,37.51293492,140.0215256,32.34530616,47.66023326,713.3065767,118.6545675,37.66918612,39.54514909,348.2680235,37.80969882,158.0372276,91.61409688,554.4681196,79.47395277,58.44102073,314.792094,173.0086293,342.1607106,18.98154831,49.43605232,169.6603327
WizardLM-2-8x22B,16.60106325,350.380882,270.05966,18.48493242,223.7414541,207.8173313,204.9585569,23.22071695,19.3757863,20.82381392,18.87697697,24.9606173,412.5406823,313.2301788,18.97392631,161.167577,379.7048562,595.3952065,71.20834851,277.7932308,181.4657899
,,,,,,,,,,,,,,,,,,,,,
,AVG TIME PER ITERATION,,,,,,,,,,,,,,,,,,,,
,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,avg
gemini-1.5-flash-002,3.446468035,4.496278087,3.402460575,2.766836524,3.747339344,4.477725983,4.219548583,3.791638851,4.035619558,3.069685936,4.144288699,3.653862317,3.192591488,3.113044977,3.122032642,5.867215873,5.965750813,6.70692262,2.776854515,4.637170255,4.031666784
codestral-2405,4.231849909,9.427587748,5.905408621,7.314542133,7.945856463,7.729117632,6.004996538,6.665061355,7.961204113,5.991484285,6.619361401,7.093036253,6.821117544,9.200093133,5.018908501,14.63193391,11.94590569,12.49785692,4.496236086,12.01206148,7.975680985
gemini-1.5-pro-002,7.214130402,15.39915323,8.669682264,9.42002785,8.226303339,8.73950875,12.92520094,8.559698582,11.12599039,7.393552065,10.91044033,10.12232145,8.713999985,7.499993801,9.333846236,21.58784819,25.69711828,22.12571931,11.31236267,16.31527424,12.06460861
gpt-4o-mini,8.73996568,12.48062015,9.43147838,9.41832125,7.36397815,8.423306585,9.460261344,8.908617855,11.91812998,8.90931916,19.79644251,11.20573244,10.96551935,8.045738817,12.62715745,18.82829452,16.21890831,24.38354934,11.4545362,13.60912442,12.10945009
open-mixtral-8x22b,6.970344067,19.10278785,13.65574455,10.20633268,11.33542681,11.82479644,15.34430519,10.00475407,13.07038838,8.896652078,10.35691643,9.680731217,7.519442557,8.035303593,8.240731001,19.38944936,19.77437062,17.95707289,9.022759757,13.66249585,12.20254027
claude-3-5-sonnet-20240620,12.81790614,23.57381439,15.90022016,12.56514049,12.80555701,12.71668005,14.05461335,11.85644198,16.25653458,11.24716485,15.29703951,11.89684224,13.81807542,12.31829262,21.71878433,18.67574906,22.73699498,28.26016855,20.55666125,28.45243812,16.87625595
Qwen2.5-72B-Instruct,17.40195835,16.86161089,19.45820613,16.23787862,14.3145752,10.82209539,22.45204873,15.08191991,23.41176123,12.9183811,19.15722553,12.88514543,16.07437072,19.21510683,12.93885287,35.70257353,47.40454953,42.34744302,9.957676411,27.24505154,20.59442155
Llama-3.2-90B-Vision-Instruct,17.1178003,23.19594538,12.8960793,16.05716437,23.21951866,17.11674905,23.638623,17.17312487,16.13791108,17.659634,26.60788095,19.76291299,27.20590141,14.95057297,29.08538365,24.77134943,38.84447782,24.25877989,14.72943616,26.68932668,21.5559286
Llama-3.1-405B-Instruct,11.62410116,31.37889123,19.5434556,12.31872392,36.11639386,19.03932118,18.68286932,20.4589401,17.65192771,55.33500051,22.35431695,17.71578741,24.24180802,10.39741922,17.71944809,37.55978948,26.32164097,42.59377003,18.70011348,34.06427002,24.69089941
gpt-4,19.90944277,31.74562854,25.21412874,21.71204639,23.72542608,26.8235321,25.24937704,19.71135259,22.69721687,25.3097859,28.24914062,25.46176034,26.31522382,23.787467,21.6125483,35.97435213,32.94325876,38.22009689,23.40044657,33.0681721,26.55652018
WizardLM-2-8x22B,16.60106325,31.85280745,24.55087818,18.48493242,31.96306487,29.68819019,34.15975948,23.22071695,19.3757863,20.82381392,18.87697697,24.9606173,37.50369839,28.4754708,18.97392631,40.29189425,47.46310703,54.12683695,23.73611617,46.2988718,29.57142645
gpt-4o,32.03577209,40.8139677,32.9438355,39.20579147,38.10470939,20.70560086,28.42686761,19.74085927,45.26131463,22.78511834,29.85712814,35.53219331,30.1853761,23.35749531,47.35867238,37.0831381,42.26276326,40.44879103,26.78343165,41.45321894,33.71730225
Llama-3.1-Nemotron-70B-Instruct,12.68282843,39.78157623,91.79634993,34.9188202,15.20522177,16.90343928,27.43379194,18.67404902,20.15407884,11.29814593,23.44705572,19.30235863,14.21783543,67.71900177,44.87277247,30.52668197,82.29161176,76.04981248,35.51085627,81.25486663,38.20205773
o1-mini,55.33943057,33.32869685,21.76679254,20.63960576,26.83382893,23.6885078,63.58515477,24.72099781,58.28039408,54.28199244,26.21212745,34.83201766,57.36594176,23.59467411,25.79103136,53.885751,49.7543963,36.2146415,42.20486617,50.8353015,39.15780752
mistral-large-2407,37.51293492,140.0215256,32.34530616,47.66023326,71.33065767,59.32728375,37.66918612,39.54514909,69.6536047,37.80969882,52.67907587,45.80704844,79.20973137,39.73697639,58.44102073,157.396047,57.6695431,57.0267851,18.98154831,49.43605232,59.46297044
o1-preview,99.4497061,72.71663094,70.68202066,76.71691871,90.71459532,64.40443349,82.89148498,77.86454391,97.2275496,132.7864189,97.9693379,64.3452667,60.52897215,76.81784201,89.74528885,124.2640547,78.10628,223.6045179,53.38458538,82.4875412,90.83539947
